cities
ID,STATE_NAME,CITY_NAME
1,Alaska,Adak
2,Alaska,Akiachak
3,Alaska,Akiak
4,Alaska,Akutan
5,Alaska,Alakanuk
6,Alaska,Aleknagik
7,Alaska,Allakaket
8,Alaska,Ambler
9,Alaska,Anaktuvuk Pass
10,Alaska,Anchor Point
11,Alaska,Anchorage
12,Alaska,Anderson
13,Alaska,Angoon
14,Alaska,Aniak
15,Alaska,Anvik
16,Alaska,Arctic Village
17,Alaska,Atka
18,Alaska,Atqasuk
19,Alaska,Auke Bay
20,Alaska,Barrow
21,Alaska,Beaver
22,Alaska,Bethel
23,Alaska,Bettles Field
24,Alaska,Big Lake
25,Alaska,Brevig Mission
26,Alaska,Buckland
27,Alaska,Cantwell
28,Alaska,Central
29,Alaska,Chalkyitsik
30,Alaska,Chefornak
31,Alaska,Chevak
32,Alaska,Chicken
33,Alaska,Chignik
34,Alaska,Chignik Lagoon
35,Alaska,Chignik Lake
36,Alaska,Chitina
37,Alaska,Chugiak
38,Alaska,Circle
39,Alaska,Clam Gulch
40,Alaska,Clarks Point
41,Alaska,Clear
42,Alaska,Coffman Cove
43,Alaska,Cold Bay
44,Alaska,Cooper Landing
45,Alaska,Copper Center
46,Alaska,Cordova
47,Alaska,Craig
48,Alaska,Crooked Creek
49,Alaska,Deering
50,Alaska,Delta Junction
51,Alaska,Denali National Park
52,Alaska,Dillingham
53,Alaska,Douglas
54,Alaska,Dutch Harbor
55,Alaska,Eagle
56,Alaska,Eagle River
57,Alaska,Eek
58,Alaska,Egegik
59,Alaska,Eielson Afb
60,Alaska,Ekwok
61,Alaska,Elfin Cove
62,Alaska,Elim
63,Alaska,Elmendorf Afb
64,Alaska,Emmonak
65,Alaska,Ester
66,Alaska,Fairbanks
67,Alaska,False Pass
68,Alaska,Fort Greely
69,Alaska,Fort Richardson
70,Alaska,Fort Wainwright
71,Alaska,Fort Yukon
72,Alaska,Gakona
73,Alaska,Galena
74,Alaska,Gambell
75,Alaska,Girdwood
76,Alaska,Glennallen
77,Alaska,Goodnews Bay
78,Alaska,Grayling
79,Alaska,Gustavus
80,Alaska,Haines
81,Alaska,Healy
82,Alaska,Holy Cross
83,Alaska,Homer
84,Alaska,Hoonah
85,Alaska,Hooper Bay
86,Alaska,Hope
87,Alaska,Houston
88,Alaska,Hughes
89,Alaska,Huslia
90,Alaska,Hydaburg
91,Alaska,Hyder
92,Alaska,Iliamna
93,Alaska,Indian
94,Alaska,Juneau
95,Alaska,Kake
96,Alaska,Kaktovik
97,Alaska,Kalskag
98,Alaska,Kaltag
99,Alaska,Karluk
100,Alaska,Kasigluk
101,Alaska,Kasilof
102,Alaska,Kenai
103,Alaska,Ketchikan
104,Alaska,Kiana
105,Alaska,King Cove
106,Alaska,King Salmon
107,Alaska,Kipnuk
108,Alaska,Kivalina
109,Alaska,Klawock
110,Alaska,Kobuk
111,Alaska,Kodiak
112,Alaska,Kongiganak
113,Alaska,Kotlik
114,Alaska,Kotzebue
115,Alaska,Koyuk
116,Alaska,Koyukuk
117,Alaska,Kwethluk
118,Alaska,Kwigillingok
119,Alaska,Lake Minchumina
120,Alaska,Larsen Bay
121,Alaska,Levelock
122,Alaska,Lower Kalskag
123,Alaska,Manley Hot Springs
124,Alaska,Manokotak
125,Alaska,Marshall
126,Alaska,Mc Grath
127,Alaska,Mekoryuk
128,Alaska,Metlakatla
129,Alaska,Meyers Chuck
130,Alaska,Minto
131,Alaska,Moose Pass
132,Alaska,Mountain Village
133,Alaska,Naknek
134,Alaska,Napakiak
135,Alaska,Nenana
136,Alaska,New Stuyahok
137,Alaska,Nightmute
138,Alaska,Nikiski
139,Alaska,Nikolai
140,Alaska,Nikolski
141,Alaska,Ninilchik
142,Alaska,Noatak
143,Alaska,Nome
144,Alaska,Nondalton
145,Alaska,Noorvik
146,Alaska,North Pole
147,Alaska,Northway
148,Alaska,Nuiqsut
149,Alaska,Nulato
150,Alaska,Nunam Iqua
151,Alaska,Nunapitchuk
152,Alaska,Old Harbor
153,Alaska,Ouzinkie
154,Alaska,Palmer
155,Alaska,Pedro Bay
156,Alaska,Pelican
157,Alaska,Perryville
158,Alaska,Petersburg
159,Alaska,Pilot Point
160,Alaska,Pilot Station
161,Alaska,Platinum
162,Alaska,Point Baker
163,Alaska,Point Hope
164,Alaska,Point Lay
165,Alaska,Port Alexander
166,Alaska,Port Alsworth
167,Alaska,Port Heiden
168,Alaska,Port Lions
169,Alaska,Prudhoe Bay
170,Alaska,Quinhagak
171,Alaska,Rampart
172,Alaska,Red Devil
173,Alaska,Ruby
174,Alaska,Russian Mission
175,Alaska,Saint George Island
176,Alaska,Saint Marys
177,Alaska,Saint Michael
178,Alaska,Saint Paul Island
179,Alaska,Salcha
180,Alaska,Sand Point
181,Alaska,Savoonga
182,Alaska,Scammon Bay
183,Alaska,Selawik
184,Alaska,Seldovia
185,Alaska,Seward
186,Alaska,Shageluk
187,Alaska,Shaktoolik
188,Alaska,Shishmaref
189,Alaska,Shungnak
190,Alaska,Sitka
191,Alaska,Skagway
192,Alaska,Skwentna
193,Alaska,Sleetmute
194,Alaska,Soldotna
195,Alaska,South Naknek
196,Alaska,Stebbins
197,Alaska,Sterling
198,Alaska,Stevens Village
199,Alaska,Sutton
200,Alaska,Takotna
201,Alaska,Talkeetna
202,Alaska,Tanacross
203,Alaska,Tanana
204,Alaska,Tatitlek
205,Alaska,Teller
206,Alaska,Tenakee Springs
207,Alaska,Thorne Bay
208,Alaska,Togiak
209,Alaska,Tok
210,Alaska,Toksook Bay
211,Alaska,Trapper Creek
212,Alaska,Tuluksak
213,Alaska,Tuntutuliak
214,Alaska,Tununak
215,Alaska,Two Rivers
216,Alaska,Tyonek
217,Alaska,Unalakleet
218,Alaska,Unalaska
219,Alaska,Valdez
220,Alaska,Venetie
221,Alaska,Wainwright
222,Alaska,Wales
223,Alaska,Ward Cove
224,Alaska,Wasilla
225,Alaska,White Mountain
226,Alaska,Whittier
227,Alaska,Willow
228,Alaska,Wrangell
229,Alaska,Yakutat
230,Alabama,Abbeville
231,Alabama,Abernant
232,Alabama,Adamsville
233,Alabama,Addison
234,Alabama,Adger
235,Alabama,Akron
